city,year,arrests,population
"Providence, Rhode Island",1870,5639,68904
"New Haven, Connecticut",1870,2495,50840
"Lowell, Massachusetts",1870,2212,40928
"New York, New York",1871,75692,968691
"Philadelphia, Pennsylvania",1871,NA,667037
"Brooklyn, New York",1871,17586,413802
"Chicago, Illinois",1871,NA,319409
"Boston, Massachusetts",1871,25201,261754
"St. Louis, Missouri",1871,17484,314829
"Baltimore, Maryland",1871,8367,273850
"Cincinnati, Ohio",1871,7794,220129
"San Francisco, California",1871,12332,157922
"Washington, DC",1871,11462,113008
"Newark, New Jersey",1871,5537,108204
"Louisville, Kentucky",1871,6965,103054
"Detroit, Michigan",1871,3929,83253
"Providence, Rhode Island",1871,6427,72499
"New Haven, Connecticut",1871,5363,52044
"Lowell, Massachusetts",1871,NA,42783
"New York, New York",1872,84514,995092
"Philadelphia, Pennsylvania",1872,40386,687052
"Brooklyn, New York",1872,15906,431506
"Chicago, Illinois",1872,21931,339819
"Boston, Massachusetts",1872,27902,272981
"St. Louis, Missouri",1872,19308,318795
"Baltimore, Maryland",1872,10122,280346
"Cincinnati, Ohio",1872,9592,224019
"San Francisco, California",1872,11035,166370
"Cleveland, Ohio",1872,4967,99561
"Buffalo, New York",1872,10534,125198
"Washington, DC",1872,11306,116818
"Newark, New Jersey",1872,6377,111349
"Louisville, Kentucky",1872,NA,105354
"Detroit, Michigan",1872,3839,86930
"Providence, Rhode Island",1872,8110,76095
"Richmond, Virginia",1872,6121,53550
"New Haven, Connecticut",1872,4964,53248
"Lowell, Massachusetts",1872,NA,44637
"New York, New York",1873,95760,1021493
"Philadelphia, Pennsylvania",1873,30886,707066
"Brooklyn, New York",1873,25588,449209
"Chicago, Illinois",1873,31585,360239
"Boston, Massachusetts",1873,27845,284209
"St. Louis, Missouri",1873,19463,322760
"Baltimore, Maryland",1873,10116,286842
"Cincinnati, Ohio",1873,11178,227909
"San Francisco, California",1873,12810,174819
"Cleveland, Ohio",1873,8579,113024
