tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,attachment-type,deployment-id,manipulation-type,tag-manufacturer-name,tag-mass,tag-model,tag-readout-method
48,48,Milvus migrans,,,harness,48,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite33,kite33,Milvus migrans,,,harness,kite33,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
33,33,Milvus migrans,,,harness,33,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
8,8,Milvus migrans,,,harness,8,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
42,42,Milvus migrans,,,harness,42,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite30,kite30,Milvus migrans,,,harness,kite30,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
25,25,Milvus migrans,,,harness,25,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
p26,p26,Milvus migrans,,,harness,p26,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite3,kite3,Milvus migrans,,,harness,kite3,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
15,15,Milvus migrans,,,harness,15,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
29,29,Milvus migrans,,,harness,29,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
66,66,Milvus migrans,,,harness,66,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
9,9,Milvus migrans,,,harness,9,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
51,51,Milvus migrans,,,harness,51,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
p12,p12,Milvus migrans,,,harness,p12,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite39,kite39,Milvus migrans,,,harness,kite39,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
24,24,Milvus migrans,,,harness,24,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite9,kite9,Milvus migrans,,,harness,kite9,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
6,6,Milvus migrans,,,harness,6,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite11,kite11,Milvus migrans,,,harness,kite11,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
logger110,logger110,Milvus migrans,,,harness,logger110,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
p19,p19,Milvus migrans,,,harness,p19,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
logger108,logger108,Milvus migrans,,,harness,logger108,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
p5,p5,Milvus migrans,,,harness,p5,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite25,kite25,Milvus migrans,,,harness,kite25,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite16a,kite16a,Milvus migrans,,,harness,kite16a,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite38,kite38,Milvus migrans,,,harness,kite38,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite2,kite2,Milvus migrans,,,harness,kite2,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
19,19,Milvus migrans,,,harness,19,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
35,35,Milvus migrans,,,harness,35,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite45,kite45,Milvus migrans,,,harness,kite45,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
49,49,Milvus migrans,,,harness,49,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite32,kite32,Milvus migrans,,,harness,kite32,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
