"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06"
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-02-16",,,,"0.02","0.4","13.0","33","15","33",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-02-17",,,,"0.01","0.3","12.0","34","-4","-4",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-02-18",,,,"0.05","1.5","13.0","21","-5","10",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-02-19",,,,"0.84","8.0","20.0","35","10","20",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-02-20",,,,"0.00","0.0","19.0","32","18","18",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-02-21",,,,"0.00","0.0","19.0","35","11","23",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-02-22",,,,"0.00","0.0","17.0","47","14","34",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-02-23",,,,"0.00","0.0","16.0","51","30","35",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-02-24",,,,"0.21","0.0","12.0","49","31","37",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-02-25",,,,"0.49","0.0","11.0","39","31","32",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-02-26",,,,"0.01","0.0","10.0","36","31","35",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-02-27",,,,"0.04","0.0","7.0","50","35","45",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-02-28",,,,"0.41","0.0","5.0","45","35","35",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-02-29",,,,"0.00","0.0","5.0","45","27","27",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-03-01",,,,"0.00","0.0","5.0","44","22","35",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-03-02",,,,"0.00","0.0","4.0","43","34","34",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-03-03",,,,"0.00","0.0","4.0","36","29","30",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-03-04",,,,"0.00","0.0","3.0",,,,,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-03-05",,,,"0.00","0.0","3.0",,,,,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-03-06",,,,"0.00","0.0","3.0","44","27","31",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-03-07",,,,"0.00","0.0","2.0","55","22","41",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-03-08",,,,"0.00","0.0","1.0","56","28","42",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-03-09",,,,"0.41","0.0","0.0","58","37","38",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-03-10",,,,"0.01","0.0","0.0","38","25","33",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-03-11",,,,"0.64","6.5","7.0","33","29","30",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-03-12",,,,"0.30","0.0","5.0","37","30","30",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-03-13",,,,"0.00","0.0","4.0","33","23","30",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-03-14",,,,"0.00","0.0","3.0","49","13","43",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-03-15",,,,"0.00","0.0","3.0","52","31","50",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-03-16",,,,"0.02","0.0","1.0","57","36","36",,,,,
